,tweet,positif/negatif
0,"rt @dionjack2: la presse s’interroge : comment travailler en période de grève? ou : comment aller au boulot par temps de grève ? un jour, p…",
1,"rt @stylos_les: énorme cortège à #toulouse !! 
la mobilisation contre la réforme des retraites était impressionnante! 

#stylosrouges #5dec…",
2,"rt @legneral2: 📽repression contre les journalistes: 2 reporters interpellés ,le journaliste @nnoman1 a demandé légalement le rio du coup il…",
3,rt @pludosky: chartres #5dec #manif #greve #mobilisation #manifestation #giletsjaunes https://t.co/h0awaxu1wv,
4,"rt @mbompard: 🔴 je ne crois pas qu'à l'approche des fêtes de noël, les #salariés de tout le pays aient beaucoup de journées de salaire à pe…",
5,"rt @stylos_les: les enseignants défilent à #grenoble contre la réforme des retraites !

#stylosrouges #5decembre #5decembre2019 #greve5dece…",
6,#macron ne comprends pas la #greve parce que il sait qu'il a raison https://t.co/gdycgdir9y,
7,"rt @courrierinter: la france vue de l'étranger 🇫🇷
quel bilan tirer de cette première journée de #grève ?
pour la presse étrangère, une chos…",
8,"rt @snfolcbordeaux: comuniqué de la #fnec fp #fo concernant la #greve et sa reconduction. 

#retraites #grevedu5decembre #grevereconductibl…",
9,"rt @rtenfrancais: «les riches sont de plus en plus riches. la classe moyenne, on est taxés de partout»

#greve5decembre #retraitepourtous #…",
10,"rt @parislightsup: boulevard de magenta 🚩✊🏽🚩
#paris 10°

#paris10 #grevedu5decembre #grevedu6decembre #manifestation #greve #protest #strik…",
11,rt @aquatennens: j’étais invité ce soir à intervenir en duplex sur @france2tv pour l’émission #valp afin d’interpeller le gouvernement dont…,
12,"rt @stylos_les: à la tour du pin, les profs veulent une retraite digne !

#stylosrouges #5decembre #5decembre2019 #retraites #greve #reform…",
13,rt @emmanuelchaunu: publié dans @ouestfrance aujourd’hui #5decembre2019 #greve #reformeretraites #actualité #dessins #emmanuelmacron #edoua…,
14,"rt @stylos_les: à #sète, on s'est mobilisé aujourd'hui contre le projet delevoye !

#stylosrouges #5decembre #5decembre2019 #greve5decembre…",
15,"rt @stylos_les: les #stylosrouges sont dans le cortège éducation de #paris !

#5décembre #5decembre2019 #retraites #greve #reformeretraites…",
16,"rt @24hpujadas: #grève – « c'est le grand retour de la cgt […] ces manifestations se passent bien, elles sont bien encadrées » @scoignard -…",
17,rt @pludosky: toulouse #5dec #manif #greve #mobilisation #manifestation #giletsjaunes https://t.co/xt1e8ib9co,
18,"les @ciejoliemome
 en action, toujours dans les luttes 
allez les soutenir en regardant leurs spectacles au théâtre… https://t.co/kas0ntcdlq",
19,"800000 selon la police. c'est donc que le million a été atteint. 
bravo à tous et merci !
#5decembre2019 #greve
#solidarité
#grevegenerale ✊",
20,"rt @vikash_dhorasoo: et oui on est là avec édouard louis ✊🏾
#5decembre2019 #greve #reformeretraites https://t.co/1lgrisbvbo",
21,"rt @stylos_les: les #stylosrouges aussi présents à #perpignan !

#5décembre #5decembre2019 #retraites #greve #reformeretraites #reformedesr…",
22,"rt @neguentropique: les @ciejoliemome
 en action, toujours dans les luttes 
allez les soutenir en regardant leurs spectacles au théâtre de…",
23,"rt @legneral2: 💥📽️honte😣 , une fille semble inconsciente grièvement blessée par la police à #paris 😢bravo aux #pompiers @lilaafa_rt
#macron…",
24,"rt @legneral2: 📽c'est parti la grève a déjà commencé, plus aucun train à la gare de meaux (77)! ecoutez ce qu'il dit l'agent sncf"" c fini c…",
25,"rt @lorenzobdx33: encore lui à casser les brunes aux policiers et après ça vient chouiner 🤔

pourquoi vous me contrôlez ? 

parce que t’es…",
26,"rt @allanbarte: pour ceux qui pensent qu'en pointant d'autres pauvres du doigt, ils s'en sortiront mieux...
#greve #grevedu5decembre #greve…",
27,"#greve générale et reconductible 
#paris / place de la #republique 
#5decembre https://t.co/pnvsmturw9",
28,rt @caathaarsis: une lacrymo tombe dans le système de filtration d'air d'une salle de sport de wazemmes. plusieurs gamines gazées. un flic…,
29,"🚨 #nancy #grève 🚨
la préfecture de meurthe-et-moselle a annoncé jeudi soir la tenue de trois opérations escargot «… https://t.co/rlqfpwdhug",
30,"rt @stylos_les: #rennes était mobilisée en nombre contre la réforme des retraites 

#stylosrouges #5decembre #5decembre2019 #retraites #ret…",
31,rt @zenjakuoff: bagarre en crs ?😂😂😂 #5decembre  #giletjaune #giletsjaunes #macron #manifestation #greve5decembre #le5jetravaille #retraites…,
32,"rt @f3aquitaine: #grève &gt; à quoi faut-il s'attendre demain vendredi 6 décembre en aquitaine ? 
https://t.co/yzrkqqq8iz",
33,"rt @stylos_les: manifestation interprofessionnelle à #cholet où les #stylosrouges étaient représentés 

#stylosrouges #5decembre #5decembre…",
34,"rt @voilamoncher: aujourd’hui il ne s’agit absolument pas d’une grève générale.
mais d’une grève des fonctionnaires. comme d’habitude. 
#gr…",
35,"rt @clemrossignol: mobilisé avec les écologistes et la gauche ce matin contre une réforme des retraites injuste !
#solidarités #greve #engr…",
36,"rt @pludosky: fort de france, #martinique #5dec #manif #greve #mobilisation #manifestation #giletsjaunes https://t.co/ynsiya6rdm",
37,"rt @castellavincent: #5decembre #5decembre2019 #greve #grevedu5decembre

le préfet lallement compte (sur) 1000 #blackblocs. mais il ne les…",
38,"rt @stylos_les: #marseille n’était pas en reste aujourd’hui et s’est mobilisée en masse contre le projet de delevoye. 

#stylosrouges #5dec…",
39,rt @triboque: la meilleure chose qui pourrait sortir du mouvement contre la réforme des retraites serait que les moins de 45ans prennent co…,
40,"rt @mediapart: le « carré de tête » de la manifestation a enfin dépassé la place de la république à #paris, alors que la nuit est tombé sur…",
41,rt @24hpujadas: #grève – « on est passé d'une manifestation contre la réforme des retraites à une manifestation contre le gouvernement de m…,
42,"rt @paradismireille: le service d'ordre en france, une honte aux yeux du monde, comme toujours depuis 1940. 
#greve #grevegenerale #france…",
43,"rt @stylos_les: les enseignants refusent de sacrifier leur retraite @jmblanquer !

en #greve, jusqu'au retrait du projet delevoye! 

#stylo…",
44,"rt @jlmelenchon: énorme succès de la mobilisation partout en france ! 

ça sent le roussi pour #macron !

#greve5decembre #grevedu5décembre…",
45,"rt @legneral2: 🔴 📽 #avignon : à la surprise générale, les #pompiers ont rejoint le cortège sous les applaudissements des manifestants.
#gre…",
46,"rt @legneral2: 📽 enorme #paris :  une foule immense, la manifestation parisienne a été retardée à cause d’une affluence plus importante que…",
47,"rt @legneral2: 💥📽️honteux , situation très tendue à #paris , les #pompiers sont attaqués et gazés par les policiers😣
#macron #greve #greveg…",
48,"rt @1_jaunes: 📽 #paris :  la police de #macron en oeuvre!!
#greve #grevegenerale #france #giletsjaunes #greve5decembre https://t.co/k8n6tcp…",
49,"rt @aquatennens: la #greve n’est facile pour personne. ni pour ceux qui la font, ni pour ceux qui la subissent. mais grévistes et non grévi…",
50,"rt @valcharliepop: 800000 selon la police. c'est donc que le million a été atteint. 
bravo à tous et merci !
#5decembre2019 #greve
#solidar…",
51,"rt @valeurs: d’après le secrétaire d’état en charge des transports, la maire de la capitale #hidalgo empêche l’utilisation des cars macron…",
52,"rt @stylos_les: on manifeste sous toutes les latitudes contre la réforme des retraites. #tahiti 

#stylosrouges #5decembre #5decembre2019 #…",
53,"rt @salamilea: #greve5decembre : emmanuel #macron tire les leçons de la mobilisation.
""je pensais avoir suffisamment appauvri les français…",
54,rt @leclercjm: #greve? 900 € par foyer fiscal : le coût effarant de la #sncf pour le contribuable français @le_figaro @plummerwilliam https…,
55,"#france #grève du vendredi 6 décembre : la ratp annonce 10 lignes de métro fermées, un rer a sur deux et un rer b s… https://t.co/lqvybnynkh",
56,"#greve générale et reconductible 
#paris / place de la #nation  
#5decembre https://t.co/809rmnglul",
